"","English.Word","Emotion","Emotion.Intensity.Score","Spanish.Word","negativas","positivas","intensidad"
"1","outraged","anger",0.964,"indignado",-0.964,0,-0.964
"2","brutality","anger",0.959,"brutalidad",-0.959,0,-0.959
"3","hatred","anger",0.953,"odio",-0.953,0,-0.953
"4","hateful","anger",0.94,"odioso",-0.94,0,-0.94
"5","terrorize","anger",0.939,"aterrorizar",-0.939,0,-0.939
"6","violently","anger",0.938,"violentamente",-0.938,0,-0.938
"7","infuriated","anger",0.938,"enfurecido",-0.938,0,-0.938
"8","furious","anger",0.929,"furioso",-0.929,0,-0.929
"9","furiously","anger",0.927,"furiosamente",-0.927,0,-0.927
"10","enraged","anger",0.927,"enfurecido",-0.927,0,-0.927
"11","screwyou","anger",0.924,"púdrete",-0.924,0,-0.924
"12","murderer","anger",0.922,"asesino",-0.922,0,-0.922
"13","fury","anger",0.922,"furia",-0.922,0,-0.922
"14","execution","anger",0.917,"ejecución",-0.917,0,-0.917
"15","angered","anger",0.916,"enojado",-0.916,0,-0.916
"16","savagery","anger",0.915,"salvajismo",-0.915,0,-0.915
"17","slaughtering","anger",0.914,"matanza",-0.914,0,-0.914
"18","veryangry","anger",0.913,"muy enojado",-0.913,0,-0.913
"19","assassinate","anger",0.912,"asesinar",-0.912,0,-0.912
"20","annihilation","anger",0.912,"aniquilación",-0.912,0,-0.912
"21","fuckoff","anger",0.912,"vete a la mierda",-0.912,0,-0.912
"22","rage","anger",0.911,"rabia",-0.911,0,-0.911
"23","loathe","anger",0.909,"detestar",-0.909,0,-0.909
"24","fucktard","anger",0.906,"cabrón",-0.906,0,-0.906
"25","roadrage","anger",0.906,"rabia en la carretera",-0.906,0,-0.906
"26","damnation","anger",0.906,"condenación",-0.906,0,-0.906
"27","homicidal","anger",0.906,"homicida",-0.906,0,-0.906
"28","furor","anger",0.9,"furor",-0.9,0,-0.9
"29","hostile","anger",0.898,"hostil",-0.898,0,-0.898
"30","annihilate","anger",0.898,"aniquilar",-0.898,0,-0.898
"31","murder","anger",0.897,"asesinato",-0.897,0,-0.897
"32","raging","anger",0.896,"furioso",-0.896,0,-0.896
"33","sopissed","anger",0.894,"furioso",-0.894,0,-0.894
"34","infuriates","anger",0.894,"enfurece",-0.894,0,-0.894
"35","pissed","anger",0.894,"molesto",-0.894,0,-0.894
"36","rape","anger",0.894,"violación",-0.894,0,-0.894
"37","ferocious","anger",0.894,"feroz",-0.894,0,-0.894
"38","vengeful","anger",0.894,"vengativo",-0.894,0,-0.894
"39","obliterated","anger",0.894,"borrado",-0.894,0,-0.894
"40","explosive","anger",0.894,"explosivo",-0.894,0,-0.894
"41","killing","anger",0.893,"asesinato",-0.893,0,-0.893
"42","combative","anger",0.891,"combativo",-0.891,0,-0.891
"43","vengeance","anger",0.886,"venganza",-0.886,0,-0.886
"44","gofuckyourself","anger",0.886,"vete a la mierda",-0.886,0,-0.886
"45","torment","anger",0.885,"tormento",-0.885,0,-0.885
"46","wrath","anger",0.885,"ira",-0.885,0,-0.885
"47","vicious","anger",0.884,"vicioso",-0.884,0,-0.884
"48","massacre","anger",0.882,"masacre",-0.882,0,-0.882
"49","threatening","anger",0.882,"amenazante",-0.882,0,-0.882
"50","abhorrent","anger",0.875,"aborrecible",-0.875,0,-0.875
"51","bloodthirsty","anger",0.875,"sanguinario",-0.875,0,-0.875
"52","pissoff","anger",0.875,"cabrear",-0.875,0,-0.875
"53","fighting","anger",0.868,"lucha",-0.868,0,-0.868
"54","attacking","anger",0.865,"agresor",-0.865,0,-0.865
"55","annihilated","anger",0.865,"aniquilado",-0.865,0,-0.865
"56","angriest","anger",0.864,"más enojado",-0.864,0,-0.864
"57","bloodshed","anger",0.864,"matanza",-0.864,0,-0.864
"58","smite","anger",0.862,"herir",-0.862,0,-0.862
"59","brawl","anger",0.861,"pelearse",-0.861,0,-0.861
"60","malicious","anger",0.859,"malicioso",-0.859,0,-0.859
"61","assassination","anger",0.859,"asesinato",-0.859,0,-0.859
"62","strangle","anger",0.859,"estrangular",-0.859,0,-0.859
"63","hostility","anger",0.859,"hostilidad",-0.859,0,-0.859
